Region,SiteCode,SiteName,SiteLat,SiteLong,maxDHW,maxSSTA,Mean_SST_cl,SD_SST_cl,Jan_SST_cl,Feb_SST_cl,Mar_SST_cl,Apr_SST_cl,May_SST_cl,Jun_SST_cl,Jul_SST_cl,Aug_SST_cl,Sep_SST_cl,Oct_SST_cl,Nov_SST_cl,Dec_SST_cl
GBR,CS173,Bougainville Reef lagoon,-15.48885,147.10716,10.64999976,2.499999944,26.67396768,1.496951193,28.49969482,28.58984184,28.15240288,27.42413521,26.49624062,25.52322006,24.78169632,24.53710365,24.99078369,25.95152473,27.10577202,28.0351963
GBR,CS174,Bougainville Reef Lagoon East,-15.48433,147.10759,10.64999976,2.499999944,26.67396768,1.496951193,28.49969482,28.58984184,28.15240288,27.42413521,26.49624062,25.52322006,24.78169632,24.53710365,24.99078369,25.95152473,27.10577202,28.0351963
GBR,CS175,Bougainville Reef point,-15.4908,147.08723,10.86999976,2.489999944,26.66940006,1.499745898,28.50741196,28.58748436,28.15273857,27.412323,26.49053192,25.51511765,24.77280235,24.53337288,24.98590088,25.941082,27.1022892,28.03174591
GBR,CS176,Bougainville Reef inlet,-15.48135,147.10453,10.64999976,2.499999944,26.67396768,1.496951193,28.49969482,28.58984184,28.15240288,27.42413521,26.49624062,25.52322006,24.78169632,24.53710365,24.99078369,25.95152473,27.10577202,28.0351963
GBR,CS177,Osprey Reef Lagoon South,-13.98559,146.69139,12.26999973,2.23999995,26.79841391,1.453904009,28.56278801,28.67809486,28.19598579,27.55884171,26.73082161,25.72173309,25.09301758,24.72239685,25.06388855,25.95789719,27.13068962,28.16481209
GBR,CS178,Osprey South reef flat,-13.99381,146.69067,12.26999973,2.23999995,26.79841391,1.453904009,28.56278801,28.67809486,28.19598579,27.55884171,26.73082161,25.72173309,25.09301758,24.72239685,25.06388855,25.95789719,27.13068962,28.16481209
GBR,CS179,Osprey south bommie,-13.97563,146.67549,12.26999973,2.23999995,26.79841391,1.453904009,28.56278801,28.67809486,28.19598579,27.55884171,26.73082161,25.72173309,25.09301758,24.72239685,25.06388855,25.95789719,27.13068962,28.16481209
GBR,CS18,South West Islet Bommie,-16.96134,149.90547,7.999999821,2.349999947,26.39262597,1.411032317,28.18623352,28.27536774,27.84045601,27.06064796,26.25390625,25.3441658,24.60852814,24.45170212,24.75483704,25.70504189,26.71000671,27.52061844
GBR,CS180,Osprey S W Bommie,-13.96688,146.66721,12.26999973,2.23999995,26.79841391,1.453904009,28.56278801,28.67809486,28.19598579,27.55884171,26.73082161,25.72173309,25.09301758,24.72239685,25.06388855,25.95789719,27.13068962,28.16481209
GBR,CS181,Osprey S E Lagoon,-13.96617,146.6806,12.26999973,2.23999995,26.79841391,1.453904009,28.56278801,28.67809486,28.19598579,27.55884171,26.73082161,25.72173309,25.09301758,24.72239685,25.06388855,25.95789719,27.13068962,28.16481209
