"site_code","site_name","latitude","longitude","SiteLong_rd","SiteLat_rd","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval"
"CS186","Ashmore South bommie",-10.43422,144.45243,144.5,-10.4,26.85519663,1.375965565,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017,0,374,0,8.5,28.48368073,0,0,2015,2016,1
"CS187","Ashmore South lagoon shore",-10.44136,144.45293,144.5,-10.4,26.85519663,1.375965565,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017,0,374,0,3.05,28.48368073,0,0,2015,2016,1
"CS188","Ashmore Rf Lagoon Bommie SW",-10.44121,144.43016,144.4,-10.4,26.85025056,1.375671951,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017,0,334.75,0,8,28.47545433,0,0,2015,2016,1
"CS189","Ashmore Rf Lagoon SW",-10.44697,144.43347,144.4,-10.4,26.85025056,1.375671951,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017,0,334.75,0,3.25,28.47545433,0,0,2015,2016,1
"CS190","Ashmore Reef lagoon east entrance",-10.29918,144.5215,144.5,-10.3,26.86154461,1.356393227,1028.625252,767.9559725,1330.171529,133.797753,79.1224106,1,15.51430597,8.674984008,1.780537596,0,587.25,0,7,28.45208168,0,0,2015,2016,1
"CS191","Ashmore Rf Lagoon East Bommie",-10.37448,144.53391,144.5,-10.4,26.85943858,1.370277924,843.6462141,625.8260252,1143.090224,125.6163351,66.3895071,1,15.61973585,8.721626527,1.796770133,0,374,0,7,28.47990417,0,0,2015,2016,1
"CS193","Boot Rf Wall",-10.03875,144.69198,144.7,-10,26.93708738,1.339617736,835.2871103,578.3785807,1157.122084,138.4840361,64.60952632,1,15.18578941,8.448684852,1.707982056,0,32.75,0,9,28.46976852,0,0,2015,2016,1
"CS195","Ashmore North East Entrance",-10.21767,144.5954,144.6,-10.2,26.87410704,1.352865153,975.90969,741.918335,1287.799967,133.5237695,69.90438162,0,15.34099598,8.540077697,1.739580406,0,443.25,0,9,28.45299721,0,0,2015,2016,1
"CS197","Ashmore NE Bommie",-10.22733,144.58955,144.6,-10.2,26.87410704,1.352865153,975.90969,741.918335,1287.799967,133.5237695,69.90438162,0,15.34099598,8.540077697,1.739580406,0,443.25,0,9,28.45299721,0,0,2015,2016,1
"CS198","Ashmore NE Lagoon",-10.23257,144.58684,144.6,-10.2,26.87410704,1.352865153,975.90969,741.918335,1287.799967,133.5237695,69.90438162,0,15.34099598,8.540077697,1.739580406,0,443.25,0,5.5,28.45299721,0,0,2015,2016,1
"CS2","Brodie Cay NW",-19.28441,152.21197,152.2,-19.3,25.77992646,1.537101042,564.1330742,383.1545773,802.5923262,117.7356309,20.4246317,1,17.36667143,5.19702676,2.06691991,0,45.25,0,6.05,27.81085968,0,0,2012,2016.4,4.4
"CS20","Cato Bommies",-23.24725,155.53484,155.5,-23.2,24.52888711,1.707727245,633.5232389,369.0546207,1039.605032,198.2136269,40.3896047,1,22.53482329,6.439692416,2.37620727,0.393033812,68.75,0,10.5,26.84804344,0,0,2013,2017,4
"CS200","Ashmore Reef NW slope",-10.11558,144.45777,144.5,-10.1,26.87723176,1.335321796,1029.363297,713.3060574,1565.094981,180.4313539,65.22939267,1,14.95396657,8.455298553,1.708182833,0,369.5,0,8.5,28.41783714,0,0,2015,2016,1
"CS204","Boot Rock NW",-10.10505,144.68513,144.7,-10.1,26.91428947,1.350662576,761.5345349,509.3113302,1028.922134,126.8763047,61.64349575,1,15.24741357,8.459967034,1.713187242,0,126,0,7.5,28.47512054,0,0,2015,2016,1
