"RLS_category_2","label","freq","mean_cover_present","rank.freq","rank.cover","new.label"
"Branching corals","Pocillopora danae",1,1,392,366,"Branching corals"
"Encrusting corals","Stylocoeniella Encrusting",1,1,396,367,"Encrusting corals"
"Massive corals","Symphyllia hemispherica",1,1,397,368,"Massive corals"
"Encrusting corals","Turbinaria irregularis",1,1,400,369,"Encrusting corals"
"Massive corals","Acanthastrea echinata",8,0.99876237625,184,370,"Massive corals"
"Encrusting corals","Leptoseris mycetoseroides",13,0.998536522769231,148,371,"Encrusting corals"
"Sub-massive corals","Cyphastrea chalcidicum",4,0.99762329175,236,372,"Sub-massive corals"
"Foliose/Plate corals","Porites Solid plates",2,0.995049505,315,373,"Foliose/Plate corals"
"Encrusting corals","Montipora turgescens",13,0.994438310153846,150,374,"Encrusting corals"
"Sub-massive corals","Phymastrea valenciennesi",3,0.993982208333333,274,375,"Sub-massive corals"
"Sub-massive corals","Favites",9,0.992975686222222,175,376,"Sub-massive corals"
"Sub-massive corals","Pavona Submassive",4,0.9903846155,246,377,"Sub-massive corals"
"Sub-massive corals","Euphyllia ancora",3,0.990291262,261,378,"Sub-massive corals"
"Stony corals","Acanthastrea",1,0.99009901,326,379,"Stony corals"
"Sub-massive corals","Alveopora Submassive",1,0.99009901,341,380,"Sub-massive corals"
"Branching Pocillopora","Branching Pocillopora",1,0.99009901,345,381,"Branching Pocillopora"
"Massive corals","Platygyra",4,0.988095238,248,382,"Massive corals"
"Large-polyp stony corals (free-living)","Fungia horrida",3,0.987493987333333,262,383,"Large-polyp stony corals (free-living)"
"Large-polyp stony corals (free-living)","Herpolitha limax",12,0.986127016666667,152,384,"Large-polyp stony corals (free-living)"
"Branching corals","Pectinia teres",4,0.9856199905,247,385,"Branching corals"
"Massive corals","Montipora Hemispherical",9,0.983360386777778,179,386,"Massive corals"
"Large-polyp stony corals (free-living)","Fungia scutaria",4,0.98324328225,237,387,"Large-polyp stony corals (free-living)"
"Stony corals","Goniastrea",9,0.981554452222222,177,388,"Stony corals"
"Massive corals","Hydnophora microconos",2,0.980769231,300,389,"Massive corals"
"Encrusting corals","Leptoseris Encrusting",1,0.980392157,372,390,"Encrusting corals"
"Sub-massive corals","Echinophyllia orpheensis",1,0.970873786,350,391,"Sub-massive corals"
"Large-polyp stony corals (free-living)","Fungia concinna",5,0.9701654782,228,392,"Large-polyp stony corals (free-living)"
"Massive corals","Favia maritima",1,0.961538462,356,393,"Massive corals"
"Large-polyp stony corals (free-living)","Fungia danai",1,0.952380952,359,394,"Large-polyp stony corals (free-living)"
"Branching corals","Isopora cylindrica",1,0.952380952,368,395,"Branching corals"
"Large-polyp stony corals (free-living)","Sandalolitha robusta",6,0.937869592166667,220,396,"Large-polyp stony corals (free-living)"
"Sub-massive corals","Euphyllia glabrescens",1,0.884955752,353,397,"Sub-massive corals"
"Massive corals","Astreopora Hemispherical",1,0.833333333,343,398,"Massive corals"
"Massive corals","Favites Hemispherical",2,0.75,296,399,"Massive corals"
"Foliose/Plate corals","Echinopora Foliose",1,0.5,351,400,"Foliose/Plate corals"
