label,ET_grouping,Genus_GF 
Pectinia alcicornis,Pectinia Encrusting,Pectinia Encrusting
Pectinia Encrusting,Pectinia Encrusting,Pectinia Encrusting
Pectinia lactuca,Pectinia lactuca,Pectinia Encrusting
Pectinia paeonia,Pectinia paeonia,Pectinia Encrusting
Pectinia teres,Pectinia teres,Pectinia Branching
Phymastrea,Phymastrea,Phymastrea Submassive
Phymastrea valenciennesi,Phymastrea,Phymastrea Submassive
Phymastrea magnistellata,Phymastrea magnistellata,Phymastrea Submassive
Physogyra lichtensteini,Physogyra lichtensteini,Physogyra
Platygyra contorta,Platygyra contorta,Platygyra Submassive
Platygyra daedalea,Platygyra daedalea,Platygyra Hemispherical
Platygyra lamellina,Platygyra lamellina,Platygyra Submassive
Platygyra pini,Platygyra pini,Platygyra Submassive
Platygyra sinensis,Platygyra sinensis,Platygyra Hemispherical
Platygyra,Platygyra Submassive,Platygyra Submassive
Platygyra Encrusting,Platygyra Submassive,Platygyra Submassive
Platygyra Hemispherical,Platygyra Submassive,Platygyra Submassive
Platygyra ryukyuensis,Platygyra Submassive,Platygyra Submassive
Platygyra Submassive,Platygyra Submassive,Platygyra Submassive
Platygyra yaeyamaensis,Platygyra Submassive,Platygyra Submassive
Platygyra verweyi,Platygyra verweyi,Platygyra Submassive
Branching Pocillopora,Pocillopora,Pocillopora Branching
Pocillopora,Pocillopora,Pocillopora Branching
Pocillopora danae,Pocillopora,Pocillopora Branching
Pocillopora damicornis,Pocillopora damicornis,Pocillopora Branching
Pocillopora eydouxi,Pocillopora eydouxi,Pocillopora Branching
Pocillopora meandrina,Pocillopora meandrina,Pocillopora Branching
Pocillopora verrucosa,Pocillopora verrucosa,Pocillopora Branching
Porites annae,Porites annae,Porites Submassive
Porites Branching,Porites Branching,Porites Branching
Porites rugosa,Porites Branching,Porites Branching
Porites cylindrica,Porites cylindrica,Porites Branching
Porites Encrusting,Porites Encrusting,Porites Encrusting
Porites Foliose,Porites Foliose plate,Porites Foliose plate
Porites Solid plates,Porites Foliose plate,Porites Foliose plate
Porites lichen,Porites lichen,Porites Encrusting
Porites Hemispherical,Porites Massive,Porites Massive
Porites Massive,Porites Massive,Porites Massive
Porites nigrescens,Porites nigrescens,Porites Branching
Porites rus,Porites rus,Porites Submassive
Porites,Porites Submassive,Porites Submassive
Porites monticulosa,Porites Submassive,Porites Submassive
Porites Submassive,Porites Submassive,Porites Submassive
Porites vaughani,Porites vaughani,Porites Submassive
Psammocora contigua,Psammocora Branching,Psammocora Branching
Psammocora obtusangula,Psammocora Branching,Psammocora Branching
Psammocora Encrusting,Psammocora Submassive,Psammocora Encrusting
Psammocora haimiana,Psammocora Submassive,Psammocora Submassive
Psammocora nierstraszi,Psammocora Submassive,Psammocora Submassive
Psammocora profundacella,Psammocora Submassive,Psammocora Submassive
Psammocora Submassive,Psammocora Submassive,Psammocora Submassive
Seriatopora,Seriatopora,Seriatopora
Seriatopora aculeata,Seriatopora,Seriatopora
Seriatopora dendritica,Seriatopora,Seriatopora
Seriatopora caliendrum,Seriatopora caliendrum,Seriatopora
Seriatopora hystrix,Seriatopora hystrix,Seriatopora
Coral Species,Stony corals,Stony corals
New species record,Stony corals,Stony corals
Stony corals,Stony corals,Stony corals
Stylocoeniella Encrusting,Stylocoeniella Encrusting,Stylocoeniella
Stylocoeniella guentheri,Stylocoeniella Encrusting,Stylocoeniella
Stylophora,Stylophora,Stylophora
Stylophora Branching,Stylophora,Stylophora
Stylophora subseriata,Stylophora,Stylophora
Stylophora pistillata,Stylophora pistillata,Stylophora
Symphyllia agaricia,Symphyllia agaricia,Symphyllia Submassive
Symphyllia hemispherica,Symphyllia recta,Symphyllia Hemispherical
Symphyllia recta,Symphyllia recta,Symphyllia Hemispherical
Symphyllia,Symphyllia Submassive,Symphyllia Submassive
Symphyllia Hemispherical,Symphyllia Submassive,Symphyllia Submassive
Symphyllia radians,Symphyllia Submassive,Symphyllia Submassive
Symphyllia Submassive,Symphyllia Submassive,Symphyllia Submassive
Tubastrea,Tubastrea,Tubastrea
Tubastrea coccinea,Tubastrea,Tubastrea
Tubastrea micranthus,Tubastrea,Tubastrea
Organ-pipe coral (Tubipora),Tubipora musica,Tubipora
Turbinaria Encrusting,Turbinaria Encrusting,Turbinaria Encrusting
Turbinaria irregularis,Turbinaria Encrusting,Turbinaria Encrusting
Turbinaria stellulata,Turbinaria Encrusting,Turbinaria Encrusting
Turbinaria Foliose,Turbinaria Foliose plates,Turbinaria Foliose plates
Turbinaria peltata,Turbinaria Foliose plates,Turbinaria Foliose plates
Turbinaria Solid plates,Turbinaria Foliose plates,Turbinaria Foliose plates
Turbinaria frondens,Turbinaria frondens,Turbinaria Foliose plates
Turbinaria mesenterina,Turbinaria mesenterina,Turbinaria Foliose plates
Turbinaria reniformis,Turbinaria reniformis,Turbinaria Foliose plates
