Region,SiteCode,SiteLong,SiteLat,SiteLong_rd,SiteLat_rd,Mean_SST_cl,SD_SST_cl,npp_mean,npp_min,npp_max,npp_sd,npp_interann_sd,npp_flag,wave_mean,wave_sd,wave_interann_sd
GBR,GBR3,152.39361,-23.89929,152.4,-23.9,24.16806157,2.117604359,1168.046046,929.56476,1546.962277,151.0537083,89.88830306,1,8.270347534,2.94029222,1.086394459
GBR,GBR39,145.6632,-14.66452,145.7,-14.7,26.42423932,1.646465214,621.1385801,432.5736686,1102.6645,121.1802942,59.69186236,1,14.9586139,6.20507865,1.81607126
GBR,GBR41,144.50067,-13.97733,144.5,-14,26.38615449,1.73413239,983.4951826,687.6035708,1633.538531,227.2777664,72.06089437,1,7.279167424,3.516434896,0.836421623
GBR,GBR42,144.50024,-13.98066,144.5,-14,26.38615449,1.73413239,983.4951826,687.6035708,1633.538531,227.2777664,72.06089437,1,7.279167424,3.516434896,0.836421623
GBR,GBR45,143.40371,-12.28595,143.4,-12.3,26.68538857,1.781573286,963.9761394,692.3484361,1512.124595,173.0631115,91.4182336,2,0.149638897,0.039039799,0.010634866
GBR,GBR46,143.41092,-12.28241,143.4,-12.3,26.68538857,1.781573286,963.9761394,692.3484361,1512.124595,173.0631115,91.4182336,2,0.149638897,0.039039799,0.010634866
GBR,GBR47,143.40709,-12.28121,143.4,-12.3,26.68538857,1.781573286,963.9761394,692.3484361,1512.124595,173.0631115,91.4182336,2,0.149638897,0.039039799,0.010634866
GBR,GBR48,143.40302,-12.28091,143.4,-12.3,26.68538857,1.781573286,963.9761394,692.3484361,1512.124595,173.0631115,91.4182336,2,0.149638897,0.039039799,0.010634866
GBR,GBR49,143.40232,-12.29055,143.4,-12.3,26.68538857,1.781573286,963.9761394,692.3484361,1512.124595,173.0631115,91.4182336,2,0.149638897,0.039039799,0.010634866
GBR,GBR51,143.71759,-10.28793,143.7,-10.3,26.87313843,1.42997597,1650.354247,1346.898278,2210.425588,188.8549628,108.5216019,2,2.459077728,1.249246956,0.240837245
GBR,GBR52,143.70978,-10.2875,143.7,-10.3,26.87313843,1.42997597,1650.354247,1346.898278,2210.425588,188.8549628,108.5216019,2,2.459077728,1.249246956,0.240837245
