survey_id,site_code,site_name,latitude,longitude,survey_date,program,database,is_NESP_pre.post,survey_year
912346823,CS187,Ashmore South lagoon shore,-10.44136,144.45293,11/12/2016,RLS,Squidle+,Post,2016
912345523,CS188,Ashmore Rf Lagoon Bommie SW,-10.44121,144.43016,31/7/2015,RLS,Squidle+,Pre,2015
912345532,CS188,Ashmore Rf Lagoon Bommie SW,-10.44121,144.43016,31/7/2015,RLS,Squidle+,Pre,2015
912346826,CS188,Ashmore Rf Lagoon Bommie SW,-10.44121,144.43016,12/12/2016,RLS,Squidle+,Post,2016
912346827,CS188,Ashmore Rf Lagoon Bommie SW,-10.44121,144.43016,12/12/2016,RLS,Squidle+,Post,2016
912345524,CS189,Ashmore Rf Lagoon SW,-10.44697,144.43347,31/7/2015,RLS,Squidle+,Pre,2015
912345533,CS189,Ashmore Rf Lagoon SW,-10.44697,144.43347,31/7/2015,RLS,Squidle+,Pre,2015
912346828,CS189,Ashmore Rf Lagoon SW,-10.44697,144.43347,12/12/2016,RLS,Squidle+,Post,2016
912346829,CS189,Ashmore Rf Lagoon SW,-10.44697,144.43347,12/12/2016,RLS,Squidle+,Post,2016
912345498,CS190,Ashmore Reef lagoon east entrance,-10.29918,144.5215,1/8/2015,RLS,Squidle+,Pre,2015
912345515,CS190,Ashmore Reef lagoon east entrance,-10.29918,144.5215,1/8/2015,RLS,Squidle+,Pre,2015
912346834,CS190,Ashmore Reef lagoon east entrance,-10.29918,144.5215,13/12/2016,RLS,Squidle+,Post,2016
912346835,CS190,Ashmore Reef lagoon east entrance,-10.29918,144.5215,13/12/2016,RLS,Squidle+,Post,2016
912345534,CS191,Ashmore Rf Lagoon East Bommie,-10.37448,144.53391,1/8/2015,RLS,Squidle+,Pre,2015
912346832,CS191,Ashmore Rf Lagoon East Bommie,-10.37448,144.53391,12/12/2016,RLS,Squidle+,Post,2016
912346833,CS191,Ashmore Rf Lagoon East Bommie,-10.37448,144.53391,12/12/2016,RLS,Squidle+,Post,2016
912345526,CS193,Boot Rf Wall,-10.03875,144.69198,2/8/2015,RLS,Squidle+,Pre,2015
912345535,CS193,Boot Rf Wall,-10.03875,144.69198,2/8/2015,RLS,Squidle+,Pre,2015
912346847,CS193,Boot Rf Wall,-10.03875,144.69198,15/12/2016,RLS,Squidle+,Post,2016
912346848,CS193,Boot Rf Wall,-10.03875,144.69198,15/12/2016,RLS,Squidle+,Post,2016
912345503,CS195,Ashmore North East Entrance,-10.21767,144.5954,3/8/2015,RLS,Squidle+,Pre,2015
912345504,CS195,Ashmore North East Entrance,-10.21767,144.5954,3/8/2015,RLS,Squidle+,Pre,2015
912346838,CS195,Ashmore North East Entrance,-10.21767,144.5954,13/12/2016,RLS,Squidle+,Post,2016
